opTime,tradeValue
0.0,334.699999619
0.5,333.634999619
1.0,260.634999733
1.5,260.615000229
2.0,247.735000229
2.5,219.045000229
3.0,216.345000229
3.5,215.810000381
4.0,224.745000019
4.5,214.615000019
5.0,213.835000019
5.5,205.04000042
6.0,204.750000305
6.5,198.034999619
7.0,194.259999809
7.5,194.129999809
8.0,193.299999809
8.5,193.299999809
9.0,192.419999695
9.5,190.154999695
10.0,188.149999695
10.5,187.984999733
11.0,187.619999733
11.5,187.514999733
12.0,184.454999733
12.5,184.109999733
13.0,181.675000381
13.5,179.840000381
14.0,165.025000381
14.5,159.490000381
15.0,158.495000038
15.5,155.659999924
16.0,152.950000343
16.5,152.715000343
17.0,150.729999847
17.5,142.659999847
18.0,149.684999847
18.5,149.454999847
19.0,149.414999847
19.5,149.414999847
20.0,147.364999161
20.5,146.799999161
21.0,146.459999161
21.5,146.459999161
22.0,145.539999161
22.5,140.049999695
23.0,133.655000534
23.5,133.060000534
24.0,132.115000534
24.5,129.169999847
25.0,127.314999619
25.5,126.394999619
26.0,126.314999695
26.5,126.254999695
27.0,125.219999695
27.5,125.209999695
28.0,123.439999695
28.5,122.664999695
29.0,119.285
29.5,117.450000381
30.0,116.659999771
30.5,116.594999237
31.0,115.309999237
31.5,115.025000229
32.0,114.735000229
32.5,114.510000229
33.0,114.275000839
33.5,113.744999313
34.0,113.344999313
34.5,113.074999313
35.0,113.074999313
35.5,111.639999237
36.0,111.314999237
36.5,110.599999237
37.0,108.085000076
37.5,107.480000916
38.0,106.695000916
38.5,105.245000916
39.0,105.020000916
39.5,105.020000916
40.0,104.915000916
40.5,104.795000839
41.0,104.795000839
41.5,104.715000839
42.0,104.695000381
42.5,104.104999466
43.0,104.059999847
43.5,104.02
44.0,103.990000839
44.5,103.980000839
45.0,103.980000839
45.5,103.960000381
46.0,103.944999084
46.5,103.655000305
47.0,102.840000305
47.5,102.795000305
48.0,99.6850003052
48.5,101.149999847
49.0,101.149999847
49.5,101.149999847
50.0,101.149999847
50.5,101.149999847
51.0,100.645000687
51.5,99.4650003815
52.0,99.4650003815
52.5,99.0149996948
53.0,98.0150003052
53.5,98.0150003052
54.0,97.8950003052
54.5,97.6950003052
55.0,97.0700003052
55.5,96.1599993896
56.0,96.1049990845
56.5,96.0199996948
57.0,95.9399996948
57.5,95.7999996948
58.0,94.8149996948
58.5,93.6299996948
59.0,92.9949996948
59.5,92.9949996948
60.0,91.7499994659
60.5,90.9950005341
61.0,90.7749991608
61.5,89.4150003815
62.0,90.3749996948
62.5,92.9350007629
63.0,92.9350007629
63.5,91.8399996948
64.0,89.9449997711
64.5,98.0099990845
65.0,97.2949999237
65.5,95.5250005341
66.0,96.785
66.5,95.455
67.0,94.875
67.5,94.515
68.0,94.465
68.5,93.59
69.0,93.33
69.5,92.84
70.0,91.355
70.5,87.8900007629
71.0,87.7300000763
71.5,87.7300000763
72.0,87.7300000763
72.5,86.6300000763
73.0,86.1300006866
73.5,85.9200006866
74.0,85.1350006866
74.5,83.5750006866
75.0,83.5750006866
75.5,83.2450006866
76.0,83.2450006866
76.5,82.5099996185
77.0,82.0499999237
77.5,82.0349999237
78.0,82.0349999237
78.5,81.7249999237
79.0,80.9499992371
79.5,80.9499992371
80.0,80.6549993896
80.5,80.6349993896
81.0,80.5999995422
81.5,80.5149995422
82.0,87.9299996948
82.5,87.8849996948
83.0,87.6050009155
83.5,86.4800009155
84.0,85.9399995422
84.5,85.4999991608
85.0,84.9200009155
85.5,81.6150009155
86.0,84.4499990845
86.5,80.5949990845
87.0,82.6600000763
87.5,88.73
88.0,88.535
88.5,88.3949992371
89.0,88.0899992371
89.5,88.0199992371
90.0,86.625
90.5,87.26
91.0,86.625
91.5,86.14
92.0,86.095
92.5,85.28
93.0,84.825
93.5,82.365
94.0,81.4849993134
94.5,77.1449995422
95.0,77.0199995422
95.5,75.1249995422
96.0,74.7699996948
96.5,72.455
97.0,74.8549990845
97.5,74.8449999237
98.0,74.6600006866
98.5,72.8549994659
99.0,79.86
99.5,78.7599995422
100.0,77.6899995422
100.5,77.6649995422
101.0,77.6649995422
101.5,75.8400007629
102.0,73.2700001526
102.5,73.2100006866
103.0,73.2100006866
103.5,73.2100006866
104.0,73.2100006866
104.5,73.2100006866
105.0,73.1450006866
105.5,73.1299993896
106.0,72.8749995422
106.5,72.7999995422
107.0,79.5649993134
107.5,79.5199992371
108.0,79.1699992371
108.5,78.9399992371
109.0,78.4099992371
109.5,77.6249992371
110.0,77.4799992371
110.5,76.7999992371
111.0,76.4699992371
111.5,76.0499992371
112.0,75.3499992371
112.5,75.0699998474
113.0,74.6749998474
113.5,74.2499998474
114.0,74.1499998474
114.5,74.0100004578
115.0,73.8700004578
115.5,73.5000004578
116.0,72.9750004578
116.5,72.5550004578
117.0,72.1650004578
117.5,72.0800004578
118.0,70.965
118.5,69.22
119.0,68.4650006866
119.5,68.4550004578
120.0,66.4800006104
120.5,66.1800006104
121.0,66.0450003815
121.5,65.9800007629
122.0,65.6249998474
122.5,66.8449994659
123.0,71.3000009155
123.5,68.1200009155
124.0,66.5550005341
124.5,66.3100005341
125.0,65.9700005341
125.5,65.6949996185
126.0,65.0049996185
126.5,70.3450007629
127.0,64.5000007629
127.5,71.5949995422
128.0,71.4649995422
128.5,67.5299995422
129.0,66.3249995422
129.5,66.2650000763
130.0,65.9750009155
130.5,64.7250009155
131.0,64.7099996185
131.5,64.7099996185
132.0,64.7099996185
132.5,64.7099996185
133.0,64.6050004578
133.5,64.6050004578
134.0,64.6050004578
134.5,64.0850004578
135.0,71.5900006104
135.5,70.7150000763
136.0,70.6400008392
136.5,69.0100007629
137.0,69.0049996948
137.5,68.2799996948
138.0,68.1650005341
138.5,68.0899994659
139.0,67.9549994659
139.5,67.9349994659
140.0,67.5249994659
140.5,67.5249994659
141.0,67.2649994659
141.5,67.1449994659
142.0,67.1449994659
142.5,67.1449994659
143.0,66.8149994659
143.5,66.7649994659
144.0,65.3549994659
144.5,65.3500003052
145.0,65.3500003052
145.5,65.2350000763
146.0,65.0400000763
146.5,64.5450000763
147.0,64.4000000763
147.5,64.2600000763
148.0,64.2600000763
148.5,64.2600000763
149.0,64.2600000763
149.5,64.2600000763
150.0,64.1100006866
150.5,63.5800008392
151.0,62.7649994659
151.5,60.7999994659
152.0,59.6350001526
152.5,59.4550001526
153.0,57.8900001526
153.5,57.7650001526
154.0,57.6800001526
154.5,57.4900001526
155.0,57.4850001526
155.5,57.1800001526
156.0,62.8649996185
156.5,62.8499996185
157.0,61.1599991608
157.5,59.4400006104
158.0,57.0799993134
158.5,57.4600007629
159.0,63.9850004578
159.5,63.8649996185
160.0,63.7449996185
160.5,63.7099996185
161.0,63.7099996185
161.5,63.5949998474
162.0,63.435
162.5,62.56
163.0,62.0100008392
163.5,61.7650008392
164.0,60.0800008392
164.5,59.8850001526
165.0,59.0300001526
165.5,58.3200001526
166.0,57.9900002289
166.5,57.8850002289
167.0,57.8750002289
167.5,57.8750002289
168.0,57.8750002289
168.5,57.8600008392
169.0,57.8600008392
169.5,57.8600008392
170.0,57.5849999237
170.5,63.8849996185
171.0,63.6099996185
171.5,63.4899996185
172.0,63.2499996185
172.5,63.1799999237
173.0,63.0050009155
173.5,62.7099991608
174.0,62.6649991608
174.5,62.6449991608
175.0,62.5349991608
175.5,61.9849991608
176.0,61.9399990845
176.5,61.9399990845
177.0,61.9399990845
177.5,61.5100007629
178.0,61.3250007629
178.5,61.3250007629
179.0,61.3100007629
179.5,60.7000007629
180.0,60.6650007629
180.5,60.6399992371
181.0,60.6399992371
181.5,60.6399992371
182.0,60.6399992371
182.5,60.6399992371
183.0,60.6399992371
183.5,60.6049992371
