opTime,tradeValue
0.0,334.699999619
0.5,333.634999619
1.0,260.634999733
1.5,260.615000229
2.0,247.735000229
2.5,219.045000229
3.0,216.345000229
3.5,215.810000381
4.0,224.745000019
4.5,214.615000019
5.0,213.835000019
5.5,205.04000042
6.0,204.750000305
6.5,198.034999619
7.0,194.259999809
7.5,194.129999809
8.0,193.299999809
8.5,193.299999809
9.0,192.419999695
9.5,190.154999695
10.0,188.149999695
10.5,187.984999733
11.0,187.619999733
11.5,187.514999733
12.0,184.454999733
12.5,184.109999733
13.0,181.675000381
13.5,179.840000381
14.0,165.025000381
14.5,159.490000381
15.0,158.495000038
15.5,155.659999924
16.0,152.950000343
16.5,152.715000343
17.0,150.729999847
17.5,142.659999847
18.0,149.684999847
18.5,149.454999847
19.0,149.414999847
19.5,149.414999847
20.0,147.364999161
20.5,146.799999161
21.0,146.459999161
21.5,146.459999161
22.0,145.539999161
22.5,140.049999695
23.0,133.655000534
23.5,133.060000534
24.0,132.115000534
24.5,129.169999847
25.0,127.314999619
25.5,126.394999619
26.0,126.314999695
26.5,126.254999695
27.0,125.219999695
27.5,125.209999695
28.0,123.439999695
28.5,122.664999695
29.0,119.285
29.5,117.450000381
30.0,116.659999771
30.5,116.594999237
31.0,115.309999237
31.5,115.025000229
32.0,114.735000229
32.5,114.510000229
33.0,114.275000839
33.5,113.744999313
34.0,113.344999313
34.5,113.074999313
35.0,113.074999313
35.5,111.639999237
36.0,111.314999237
36.5,110.599999237
37.0,108.085000076
37.5,107.480000916
38.0,106.695000916
38.5,105.245000916
39.0,105.020000916
39.5,105.020000916
40.0,104.915000916
40.5,104.795000839
41.0,104.795000839
41.5,104.715000839
42.0,104.695000381
42.5,104.104999466
43.0,104.059999847
43.5,104.02
44.0,103.990000839
44.5,103.980000839
45.0,103.980000839
45.5,103.960000381
46.0,103.944999084
46.5,103.655000305
47.0,102.840000305
47.5,102.795000305
48.0,102.795000305
48.5,102.795000305
49.0,102.795000305
49.5,102.795000305
50.0,102.795000305
50.5,102.795000305
51.0,102.75499939
51.5,102.699999084
52.0,102.264999695
52.5,101.744999695
53.0,101.034999695
53.5,100.854999695
54.0,99.5749996948
54.5,99.5299996948
55.0,99.5249996948
55.5,98.9349994659
56.0,98.3300005341
56.5,98.2199991608
57.0,97.5600003815
57.5,97.5350007629
58.0,97.3850000763
58.5,97.2600000763
59.0,97.1850000763
59.5,97.0000000763
60.0,96.5450006866
60.5,96.4950006866
61.0,95.6750006866
61.5,95.6750006866
62.0,95.6050006866
62.5,95.5250006866
63.0,95.3850006866
63.5,95.0049996185
64.0,94.5649999237
64.5,94.5649999237
65.0,94.3249999237
65.5,93.4749999237
66.0,93.1099992371
66.5,92.4749992371
67.0,92.4399993896
67.5,92.2449993896
68.0,92.0149995422
68.5,91.9499995422
69.0,91.6449995422
69.5,91.5749995422
70.0,91.5599995422
70.5,91.1349996948
71.0,90.635
71.5,90.43
72.0,90.43
72.5,90.2299990845
73.0,89.9549999237
73.5,89.9449996948
74.0,89.4599996948
74.5,89.4149996948
75.0,88.8450006866
75.5,88.5600006866
76.0,88.0950004578
76.5,87.8450006104
77.0,87.8000006104
77.5,87.6650003815
78.0,87.1400007629
78.5,86.9750009155
79.0,86.9750009155
79.5,86.9699998474
80.0,86.4350008392
80.5,85.9399995422
81.0,85.7699994659
81.5,85.6799994659
82.0,85.3149994659
82.5,85.2999994659
83.0,85.2050001526
83.5,85.2050001526
84.0,85.1900001526
84.5,84.9800001526
85.0,84.3550001526
85.5,84.1950001526
86.0,82.6350001526
86.5,82.6350001526
87.0,82.4350001526
87.5,82.4149996948
88.0,82.2749994659
88.5,82.2199991608
89.0,81.9700003815
89.5,81.7550003052
90.0,81.6950003052
90.5,81.4150003052
91.0,81.1699998474
91.5,81.1449998474
92.0,81.0049998474
92.5,80.9899998474
93.0,80.9899998474
93.5,80.5600009155
94.0,80.6500009155
94.5,80.2400009155
95.0,80.0950009155
95.5,79.8150009155
96.0,79.8050006866
96.5,79.5600006866
97.0,79.39
97.5,79.37
98.0,79.37
98.5,79.285
99.0,79.25
99.5,78.92
100.0,78.5
100.5,78.335
101.0,78.2500005341
101.5,78.2500005341
102.0,77.7400005341
102.5,77.4650003052
103.0,77.0700003052
103.5,76.6450003052
104.0,76.5700003052
104.5,76.5450003052
105.0,76.5450003052
105.5,76.4050003052
106.0,76.0350003052
106.5,75.7799997711
107.0,75.6500006104
107.5,75.4300003815
108.0,74.9949990845
108.5,74.6049990845
109.0,74.4900003052
109.5,74.1399998474
110.0,73.9649998474
110.5,73.9649998474
111.0,73.9649998474
111.5,73.9649998474
112.0,73.9649998474
112.5,73.9600006866
113.0,73.8899996185
113.5,73.8899996185
114.0,73.6699996185
114.5,73.6699996185
115.0,73.6550002289
115.5,73.6500002289
116.0,73.5749991608
116.5,73.5099991608
117.0,73.3000003815
117.5,73.2700003815
118.0,73.2450003815
118.5,72.3400003815
119.0,72.2000001526
119.5,72.0100001526
120.0,71.6500001526
120.5,71.6500001526
121.0,71.1700001526
121.5,70.9199990845
122.0,70.8449990845
122.5,70.7200007629
123.0,70.8000007629
123.5,70.7249996948
124.0,70.5500006866
124.5,70.5049991608
125.0,70.09
125.5,70.0799997711
126.0,69.8150006104
126.5,69.6950006104
127.0,69.6699990845
127.5,69.6699990845
128.0,69.5300005341
128.5,69.3200005341
129.0,69.2700005341
129.5,68.1150005341
130.0,67.8600005341
130.5,67.8400000763
131.0,67.7800006104
131.5,67.6899993134
132.0,67.6599993134
132.5,67.4549990845
133.0,67.4050007629
133.5,67.0100007629
134.0,67.0000005341
134.5,66.9400005341
135.0,66.7449993896
135.5,66.7349993896
136.0,66.7349993896
136.5,66.5949991608
137.0,66.59
137.5,66.59
138.0,66.4149995422
138.5,66.5699995422
139.0,66.5699995422
139.5,66.4349995422
140.0,66.2100003815
140.5,65.9499990845
141.0,65.9100007629
141.5,65.7900007629
142.0,65.6950007629
142.5,65.6100007629
143.0,65.5500007629
143.5,65.5449996948
144.0,65.4099996948
144.5,65.3450005341
145.0,65.2000006866
145.5,65.1000004578
146.0,65.0800004578
146.5,65.0800004578
147.0,65.0749993896
147.5,65.0749993896
148.0,65.0749993896
148.5,65.0499993896
149.0,65.0299993896
149.5,64.9749993896
150.0,64.9749993896
150.5,64.9749993896
151.0,64.9199993896
151.5,64.8849993896
152.0,64.5749991608
152.5,64.5749991608
153.0,64.5349991608
153.5,64.4849991608
154.0,64.4449991608
154.5,64.4299991608
155.0,64.3599991608
155.5,64.3599991608
156.0,64.3599991608
156.5,64.3500008392
157.0,64.3350008392
157.5,64.3099993134
158.0,64.1899993134
158.5,64.1699999237
159.0,64.1350007629
159.5,64.1150003052
160.0,64.1099992371
160.5,64.1099992371
161.0,63.8550000763
161.5,63.6550006866
162.0,63.6550006866
162.5,63.6400006866
163.0,63.1749997711
163.5,62.9899997711
164.0,62.7300001526
164.5,62.9099996948
165.0,62.9099996948
165.5,62.8899992371
166.0,62.8899992371
166.5,62.8899992371
167.0,62.8899992371
167.5,62.8700006866
168.0,62.8350006866
168.5,62.7450006866
169.0,62.6850006866
169.5,62.6850006866
170.0,62.5600006866
170.5,62.5549996185
171.0,62.5549996185
171.5,62.5449996185
172.0,62.5049996185
172.5,62.1149996185
173.0,62.0999996185
173.5,61.9800004578
174.0,61.8499993896
174.5,61.8049991608
175.0,61.5349991608
175.5,61.5349991608
176.0,61.5349991608
176.5,61.1849995422
177.0,61.5099995422
177.5,61.1599995422
178.0,60.6499995422
178.5,61.1599995422
179.0,61.1399995422
179.5,61.1199990845
180.0,61.1049996948
180.5,61.0249994659
181.0,60.8749994659
181.5,60.8649992371
182.0,60.8600000763
182.5,60.7500009155
