Price,Time
90.07,1199707200
84.72,1199709000
59.31,1199710800
59.31,1199712600
56.95,1199714400
56.95,1199716200
59.31,1199718000
76.37,1199719800
62.58,1199721600
105.95,1199723400
193.16,1199725200
287.03,1199727000
182.93,1199728800
108.8,1199730600
107.37,1199732400
107.37,1199734200
107.37,1199736000
107.37,1199737800
84.72,1199739600
79.71,1199741400
84.72,1199743200
59.3,1199745000
59.3,1199746800
59.3,1199748600
56.66,1199750400
54.88,1199752200
54.29,1199754000
53.75,1199755800
53.75,1199757600
53.75,1199759400
53.21,1199761200
53.21,1199763000
53.21,1199764800
53.21,1199766600
53.21,1199768400
53.21,1199770200
55.07,1199772000
55.69,1199773800
57.12,1199775600
109.21,1199777400
85.96,1199779200
93.67,1199781000
107.35,1199782800
111.66,1199784600
103.41,1199786400
103.67,1199788200
103.68,1199790000
102.56,1199791800
111.66,1199793600
107.02,1199795400
88.68,1199797200
65.43,1199799000
80.35,1199800800
95.69,1199802600
95.46,1199804400
105.09,1199806200
111.66,1199808000
123.74,1199809800
173.31,1199811600
171.37,1199813400
140.37,1199815200
111.66,1199817000
111.66,1199818800
111.66,1199820600
111.66,1199822400
109.03,1199824200
97.47,1199826000
97.84,1199827800
76.75,1199829600
64.61,1199831400
96.85,1199833200
63.25,1199835000
60.82,1199836800
60.2,1199838600
56.05,1199840400
53.75,1199842200
53.75,1199844000
53.21,1199845800
53.21,1199847600
53.21,1199849400
53.21,1199851200
53.21,1199853000
53.21,1199854800
53.21,1199856600
56.35,1199858400
57.58,1199860200
58.7,1199862000
59.88,1199863800
92.45,1199865600
78.67,1199867400
78.67,1199869200
92.45,1199871000
89.25,1199872800
86.05,1199874600
92.45,1199876400
89.25,1199878200
89.25,1199880000
92.45,1199881800
86.05,1199883600
78.67,1199885400
92.45,1199887200
92.45,1199889000
92.45,1199890800
92.46,1199892600
103.21,1199894400
126.64,1199896200
294.02,1199898000
184.42,1199899800
113.18,1199901600
92.46,1199903400
92.46,1199905200
92.46,1199907000
92.46,1199908800
92.46,1199910600
92.45,1199912400
64.11,1199914200
60.09,1199916000
60.09,1199917800
60.09,1199919600
60.09,1199921400
60.09,1199923200
58.2,1199925000
57.58,1199926800
57.58,1199928600
54.73,1199930400
54.73,1199932200
54.73,1199934000
54.73,1199935800
54.18,1199937600
